rank,feature,description,importance_weight,data_source,proxy_risk
1,distance_to_data_centre_km,Road distance from household to nearest data-collection / survey centre,0.182,Derived (GIS),High
2,asset_index,Composite index of durable assets recorded in SECC,0.171,SECC 2018,Medium
3,satellite_nightlights_radiance,Mean night-time light radiance over the habitation grid cell,0.149,Satellite (VIIRS),High
4,data_completeness_score,Share of model input fields populated vs imputed,0.121,Derived,High
5,roof_and_wall_material,Coded dwelling construction quality,0.094,SECC 2018,Medium
6,ration_card_type,Ration card category (AAY / PHH / non-PDS),0.083,PDS records,Low
7,landholding_category,Operational landholding size band,0.071,SECC 2018,Medium
8,household_size,Number of resident members,0.046,SECC 2018,Low
9,distance_to_paved_road_km,Distance to nearest all-weather road,0.039,Derived (GIS),Medium
10,electrification_status,Grid-connection / metered-supply flag,0.028,Satellite + utility,Medium
11,primary_occupation_code,Coded principal household occupation,0.016,SECC 2018,Low
